ID,FamilyType,X,Y,Z_Base,Z_Top,Width,Depth
1,599x199,4417.625,736.649,0.0,3.2,0.5999999046325684,0.19999992847442627
2,599x199,4425.425,736.649,0.0,3.2,0.5999999046325684,0.19999992847442627
3,200x599,4424.025,740.799,0.0,3.2,0.20000004768280633,0.5999999046325684
4,199x600,4422.675,740.799,0.0,3.2,0.19999980926422722,0.6000000238417442
5,200x600,4420.375,740.799,0.0,3.2,0.20000004768280633,0.6000000238417442
6,200x600,4419.025,740.799,0.0,3.2,0.20000004768371582,0.6000000238417442
7,200x600,4414.824,740.799,0.0,3.2,0.20000004768280633,0.6000000238417442
8,200x600,4428.225,740.799,0.0,3.2,0.20000004768371582,0.6000000238417442
9,200x599,4414.824,737.349,0.0,3.2,0.20000004768280633,0.5999999046325684
10,200x599,4428.225,737.349,0.0,3.2,0.20000004768371582,0.5999999046325684
11,200x600,4421.525,736.449,0.0,3.2,0.20000004768280633,0.6000000238418579
12,199x500,4431.425,738.149,0.0,3.2,0.19999980926422722,0.5
13,199x500,4431.425,740.849,0.0,3.2,0.19999980926422722,0.5
14,200x499,4411.625,740.849,0.0,3.2,0.2000000476855348,0.4999999999998863
15,199x500,4431.425,735.399,0.0,3.2,0.19999980926422722,0.5
16,200x500,4411.625,735.399,0.0,3.2,0.2000000476855348,0.5
17,200x500,4414.825,733.349,0.0,3.2,0.20000004768189683,0.5
18,200x500,4417.825,733.349,0.0,3.2,0.20000004768189683,0.5
19,200x500,4421.525,733.349,0.0,3.2,0.20000004768280633,0.5
20,200x500,4425.225,733.349,0.0,3.2,0.20000004768280633,0.5
21,200x500,4428.225,733.349,0.0,3.2,0.20000004768371582,0.5
22,200x500,4411.625,738.149,0.0,3.2,0.2000000476855348,0.5
23,500x199,4430.575,732.409,0.0,3.2,0.5,0.19999992847431258
24,500x199,4412.47,732.409,0.0,3.2,0.5,0.19999992847431258
